k_wil;nama_sls;rt;art;validasi;perlakuan;cek;catatan
1206030029000300-1                             ;DUSUN 3 PASAR SINTA NAULI;1;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030029000300-15                            ;DUSUN 3 PASAR SINTA NAULI;15;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030029000300-4                             ;DUSUN 3 PASAR SINTA NAULI;4;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030029000300-5                             ;DUSUN 3 PASAR SINTA NAULI;5;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030029000400-91                            ;DUSUN 4 LUMBAN TONGA TONGA;91;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-105                           ;DUSUN 1;105;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-171                           ;DUSUN 1;171;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-175                           ;DUSUN 1;175;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-176                           ;DUSUN 1;176;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-178                           ;DUSUN 1;178;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-179                           ;DUSUN 1;179;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-181                           ;DUSUN 1;181;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-19                            ;DUSUN 1;19;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-20                            ;DUSUN 1;20;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-209                           ;DUSUN 1;209;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-21                            ;DUSUN 1;21;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000100-55                            ;DUSUN 1;55;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000200-21                            ;DUSUN 2;21;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000200-22                            ;DUSUN 2;22;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000300-18                            ;DUSUN 3;18;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000300-82                            ;DUSUN 3;82;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030030000300-83                            ;DUSUN 3;83;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000200-56                            ;DUSUN 2;56;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-158                           ;DUSUN 3;158;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-21                            ;DUSUN 3;21;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-22                            ;DUSUN 3;22;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-32                            ;DUSUN 3;32;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-33                            ;DUSUN 3;33;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-34                            ;DUSUN 3;34;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-44                            ;DUSUN 3;44;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-45                            ;DUSUN 3;45;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-68                            ;DUSUN 3;68;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-69                            ;DUSUN 3;69;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-8                             ;DUSUN 3;8;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-81                            ;DUSUN 3;81;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-83                            ;DUSUN 3;83;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-9                             ;DUSUN 3;9;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-91                            ;DUSUN 3;91;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000301-96                            ;DUSUN 3;96;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000302-19                            ;DUSUN 3;19;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000302-46                            ;DUSUN 3;46;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000302-48                            ;DUSUN 3;48;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000302-53                            ;DUSUN 3;53;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000302-54                            ;DUSUN 3;54;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000302-84                            ;DUSUN 3;84;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000400-19                            ;DUSUN 4;19;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030031000400-37                            ;DUSUN 4;37;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-10                            ;DUSUN 1;10;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-101                           ;DUSUN 1;101;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-103                           ;DUSUN 1;103;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-104                           ;DUSUN 1;104;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-17                            ;DUSUN 1;17;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-65                            ;DUSUN 1;65;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-68                            ;DUSUN 1;68;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-69                            ;DUSUN 1;69;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-70                            ;DUSUN 1;70;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-79                            ;DUSUN 1;79;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-80                            ;DUSUN 1;80;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-89                            ;DUSUN 1;89;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-94                            ;DUSUN 1;94;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-95                            ;DUSUN 1;95;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000100-99                            ;DUSUN 1;99;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-10                            ;DUSUN 2;10;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-16                            ;DUSUN 2;16;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-40                            ;DUSUN 2;40;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-41                            ;DUSUN 2;41;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-42                            ;DUSUN 2;42;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-44                            ;DUSUN 2;44;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-45                            ;DUSUN 2;45;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-55                            ;DUSUN 2;55;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-56                            ;DUSUN 2;56;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000200-57                            ;DUSUN 2;57;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000300-15                            ;DUSUN 3;15;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000300-19                            ;DUSUN 3;19;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030032000300-7                             ;DUSUN 3;7;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000100-18                            ;LINGKUNGAN 1;18;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000100-20                            ;LINGKUNGAN 1;20;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000100-31                            ;LINGKUNGAN 1;31;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000100-73                            ;LINGKUNGAN 1;73;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000100-75                            ;LINGKUNGAN 1;75;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000100-77                            ;LINGKUNGAN 1;77;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000100-78                            ;LINGKUNGAN 1;78;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000200-11                            ;LINGKUNGAN 3;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000200-117                           ;LINGKUNGAN 3;117;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000200-66                            ;LINGKUNGAN 3;66;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000200-81                            ;LINGKUNGAN 3;81;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000300-15                            ;LINGKUNGAN 4;15;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000300-16                            ;LINGKUNGAN 4;16;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000300-17                            ;LINGKUNGAN 4;17;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000300-34                            ;LINGKUNGAN 4;34;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000300-72                            ;LINGKUNGAN 4;72;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030033000400-89                            ;LINGKUNGAN 2;89;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000100-15                            ;LINGKUNGAN 1;15;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000100-24                            ;LINGKUNGAN 1;24;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000100-3                             ;LINGKUNGAN 1;3;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000100-31                            ;LINGKUNGAN 1;31;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000100-32                            ;LINGKUNGAN 1;32;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000100-89                            ;LINGKUNGAN 1;89;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000100-90                            ;LINGKUNGAN 1;90;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000300-11                            ;LINGKUNGAN 3;11;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000300-28                            ;LINGKUNGAN 3;28;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000400-25                            ;LINGKUNGAN 4;25;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000400-64                            ;LINGKUNGAN 4;64;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000600-22                            ;LINGKUNGAN 6;22;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000600-23                            ;LINGKUNGAN 6;23;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030034000600-4                             ;LINGKUNGAN 6;4;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
1206030035000100-64                            ;DUSUN 1;64;;Daya Listrik Besar Tetapi Miskin;Cek lagi, apa memang ricnian 307a lebih dari kode 2? Jika sesuai abaikan, jika sampai 307a berkode 4 dan 5 dokumen dipisah untuk ditanyakan kepada petugas;;
